songId,title,artist,album,albumId,cover
"410846246","Send My Love (To Your New Lover)","Adele","Send My Love (To Your New Lover)","34676042","109951168981806326.jpg"
"5093684","Just the Way You Are","Bruno Mars","The Brit Awards Album 2011","503736","2531075767177958.jpg"
"17112299","Call Me Maybe","Carly Rae Jepsen","Call Me Maybe","1576473","109951166150786745.jpg"
"2065100107","Dance The Night","Dua Lipa","Barbie The Album","169896931","109951168747690471.jpg"
"451703096","Shape of You","Ed Sheeran","Shape of You","35114127","109951168805157389.jpg"
"1948620191","As It Was","Harry Styles","Harry's House","145197663","109951167437895857.jpg"
"1805283634","Another Day Of Sun","La La Land Cast","Soundtracks","120604597","109951168144657877.jpg"
"28756834","All About That Bass","Meghan Trainor","All About That Bass","2887138","6006632023186889.jpg"
"17753288","What Makes You Beautiful","One Direction","What Makes You Beautiful","1633272","109951165966017583.jpg"
"1964236604","Nonsense","Sabrina Carpenter","emails i can't send","148164055","109951171960924275.jpg"
"29747526","Who Says","Selena Gomez","For You","3065063","109951173335369445.jpg"
"473602620","There's Nothing Holdin' Me Back","Shawn Mendes","There's Nothing Holdin' Me Back","35377237","18880813672259939.jpg"
"1859245776","STAY","The Kid LAROI / Justin Bieber","STAY","130016223","109951166155165682.jpg"
"18638057","Baby","Justin Bieber / Ludacris","Baby","1709614","710284511552973.jpg"
"36496695","Love Yourself","Justin Bieber","Purpose (Deluxe)","3389146","109951171891446591.jpg"
"2617944302","Die With A Smile","Lady Gaga / Bruno Mars","Die With A Smile","245237092","109951170009341937.jpg"
"21038723","Poker Face","Lady Gaga","Poker Face","1947196","109951169006598917.jpg"
"2871217","Firework","Katy Perry","Firework","289915","109951166231981772.jpg"
"27566922","Roar","Katy Perry","Roar","2639215","3317226581214544.jpg"
"22441762","Teenage Dream","Katy Perry","Teenage Dream","2054346","109951173212900455.jpg"
"473817398","Attention","Charlie Puth","Voicenotes","38530129","109951165991701088.jpg"
"509728806","How Long","Charlie Puth","Voicenotes","38530129","109951165991701088.jpg"
"34072434","One Call Away","Charlie Puth","Nine Track Mind","3270972","109951169407176829.jpg"
"401249910","We Don't Talk Anymore","Charlie Puth / Selena Gomez","Nine Track Mind","3270972","109951169407176829.jpg"
"28987626","Animals","Maroon 5","Animals","2971089","109951167996715604.jpg"
"28661564","Maps","Maroon 5","Maps","2866276","3394192437682072.jpg"
"21253966","Moves Like Jagger","Maroon 5 / Christina Aguilera","Moves Like Jagger","1963867","109951163219132651.jpg"
"21253806","One More Night","Maroon 5","Overexposed (Deluxe)","1963855","3222668584137511.jpg"
