"id","title","artist","apiName","apiArtist","match"
"410846246","Send My Love","Adele","Send My Love (To Your New Lover)","Adele","MISMATCH"
"2689018742","twilight zone","Ariana Grande","twilight zone","Ariana Grande","EXACT"
"5093684","Just the Way You Are","Bruno Mars","Just the Way You Are","Bruno Mars","EXACT"
"17112299","Call Me Maybe","Carly Rae Jepsen","Call Me Maybe","Carly Rae Jepsen","EXACT"
"2065100107","Dance The Night","Dua Lipa","Dance The Night","Dua Lipa","EXACT"
"451703096","Shape of You","Ed Sheeran","Shape of You","Ed Sheeran","EXACT"
"1948620191","As It Was","Harry Styles","As It Was","Harry Styles","EXACT"
"1805283634","Another Day Of Sun","La La Land Cast","Another Day Of Sun","La La Land Cast","EXACT"
"28756834","All About That Bass","Meghan Trainor","All About That Bass","Meghan Trainor","EXACT"
"17753288","What Makes You Beautiful","One Direction","What Makes You Beautiful","One Direction","EXACT"
"1964236604","Nonsense","Sabrina Carpenter","Nonsense","Sabrina Carpenter","EXACT"
"29747526","Who Says","Selena Gomez","Who Says","Selena Gomez","EXACT"
"473602620","There's Nothing Holdin' Me Back","Shawn Mendes","There's Nothing Holdin' Me Back","Shawn Mendes","EXACT"
"1859245776","STAY","The Kid LAROI / Justin Bieber","STAY","The Kid LAROI/Justin Bieber","MISMATCH"
"18638057","Baby","Justin Bieber / Ludacris","Baby","Justin Bieber/Ludacris","MISMATCH"
"36496695","Love Yourself","Justin Bieber","Love Yourself","Justin Bieber","EXACT"
"2617944302","Die With A Smile","Lady Gaga / Bruno Mars","Die With A Smile","Lady Gaga/Bruno Mars","MISMATCH"
"21038723","Poker Face","Lady Gaga","Poker Face","Lady Gaga","EXACT"
"2871217","Firework","Katy Perry","Firework","Katy Perry","EXACT"
"27566922","Roar","Katy Perry","Roar","Katy Perry","EXACT"
"22441762","Teenage Dream","Katy Perry","Teenage Dream","Katy Perry","EXACT"
"473817398","Attention","Charlie Puth","Attention","Charlie Puth","EXACT"
"509728806","How Long","Charlie Puth","How Long","Charlie Puth","EXACT"
"1986884302","I Don't Think That I Like Her","Charlie Puth","I Don’t Think That I Like Her","Charlie Puth","MISMATCH"
"34072434","One Call Away","Charlie Puth","One Call Away","Charlie Puth","EXACT"
"401249910","We Don't Talk Anymore","Charlie Puth / Selena Gomez","We Don't Talk Anymore","Charlie Puth/Selena Gomez","MISMATCH"
"28987626","Animals","Maroon 5","Animals","Maroon 5","EXACT"
"28661564","Maps","Maroon 5","Maps","Maroon 5","EXACT"
