"cls","id","title","artist"
"track-own","410846246","Send My Love","Adele"
"track-own","2689018742","twilight zone","Ariana Grande"
"track-own","5093684","Just the Way You Are","Bruno Mars"
"track-own","17112299","Call Me Maybe","Carly Rae Jepsen"
"track-own","2065100107","Dance The Night","Dua Lipa"
"track-own","451703096","Shape of You","Ed Sheeran"
"track-own","1948620191","As It Was","Harry Styles"
"track-own","1805283634","Another Day Of Sun","La La Land Cast"
"track-own","28756834","All About That Bass","Meghan Trainor"
"track-own","17753288","What Makes You Beautiful","One Direction"
"track-own","1964236604","Nonsense","Sabrina Carpenter"
"track-own","29747526","Who Says","Selena Gomez"
"track-own","473602620","There's Nothing Holdin' Me Back","Shawn Mendes"
"track-own","1859245776","STAY","The Kid LAROI / Justin Bieber"
"track-own","18638057","Baby","Justin Bieber / Ludacris"
"track-own","36496695","Love Yourself","Justin Bieber"
"track-own","2617944302","Die With A Smile","Lady Gaga / Bruno Mars"
"track-own","21038723","Poker Face","Lady Gaga"
"track-own","2871217","Firework","Katy Perry"
"track-own","27566922","Roar","Katy Perry"
"track-own","22441762","Teenage Dream","Katy Perry"
"track-own","473817398","Attention","Charlie Puth"
"track-own","509728806","How Long","Charlie Puth"
"track-own","1986884302","I Don't Think That I Like Her","Charlie Puth"
"track-own","34072434","One Call Away","Charlie Puth"
"track-own","401249910","We Don't Talk Anymore","Charlie Puth / Selena Gomez"
"track-own","28987626","Animals","Maroon 5"
"track-own","28661564","Maps","Maroon 5"
"track-own","21253966","Moves Like Jagger","Maroon 5 / Christina Aguilera"
"track-own","21253806","One More Night","Maroon 5"
"track-own","4172700","Payphone","Maroon 5 / Wiz Khalifa"
"track-own","29019227","Sugar","Maroon 5"
"track-own","19292804","22","Taylor Swift"
"track-own","29572503","All You Had To Do Was Stay","Taylor Swift"
"track-own","29572505","Bad Blood","Taylor Swift"
"track-own","29572510","Clean","Taylor Swift"
"track-own","1382576173","Cruel Summer","Taylor Swift"
"track-own","2050561748","Hits Different","Taylor Swift"
"track-own","29572507","How You Get The Girl","Taylor Swift"
"track-own","1382572453","I Forgot That You Existed","Taylor Swift"
"track-own","25648017","I Knew You Were Trouble.","Taylor Swift"
"track-own","29572509","I Know Places","Taylor Swift"
"track-own","29572504","I Wish You Would","Taylor Swift"
"track-own","1382778514","Lover","Taylor Swift"
"track-own","29498911","Out Of The Woods","Taylor Swift"
"track-own","28953033","Shake It Off","Taylor Swift"
"track-own","19292813","Starlight","Taylor Swift"
"track-own","29572502","Style","Taylor Swift"
"track-own","1382781100","The Man","Taylor Swift"
"track-own","25787222","We Are Never Ever Getting Back Together","Taylor Swift"
"track-own","29572506","Wildest Dreams","Taylor Swift"
"track-own","29572511","Wonderland","Taylor Swift"
"track-own","29572512","You Are In Love","Taylor Swift"
"track-sim","29572501","Blank Space","Taylor Swift"
"track-sim","1990192694","Anti-Hero","Taylor Swift"
"track-sim","1990192725","Karma","Taylor Swift"
"track-sim","516818336","Delicate","Taylor Swift"
"track-sim","2035060165","Lavender Haze","Taylor Swift"
"track-sim","1400110511","Don't Start Now","Dua Lipa"
"track-sim","1433934518","Levitating","Dua Lipa"
"track-sim","1418953604","Physical","Dua Lipa"
"track-sim","2014200813","Flowers","Miley Cyrus"
"track-sim","1406633327","Blinding Lights","The Weeknd"
"track-sim","1432456852","Save Your Tears","The Weeknd"
"track-sim","1404228064","Watermelon Sugar","Harry Styles"
"track-sim","1407951508","Adore You","Harry Styles"
"track-sim","1948618489","Late Night Talking","Harry Styles"
"track-sim","2144901835","Espresso","Sabrina Carpenter"
"track-sim","2080218767","Vampire","Olivia Rodrigo"
"track-sim","1846473650","drivers license","Olivia Rodrigo"
"track-sim","1958557540","golden hour","JVKE"
"track-sim","27698223","royals","Lorde"
"track-sim","28306668","Chandelier","Sia"
"track-sim","39224884","Cheap Thrills","Sia"
"track-sim","36990266","Faded","Alan Walker"
"track-sim","1338098071","Let Me Down Slowly","Alec Benjamin"
"track-sim","1374329431","Dancing With Your Ghost","Sasha Alex Sloan"
"track-sim","479223413","I Like Me Better","Lauv"
"track-sim","564000295","Paris in the Rain","Lauv"
"track-sim","400876320","Unstoppable","Sia"
"track-sim","2031003572","Feather","Sabrina Carpenter"
"track-sim","2097627772","Houdini","Dua Lipa"
"track-sim","2126654120","Training Season","Dua Lipa"
"track-sim","28692519","Photograph","Ed Sheeran"
"track-sim","1855475139","Bad Habits","Ed Sheeran"
"track-sim","1876212794","Shivers","Ed Sheeran"
"track-sim","441120471","That's What I Like","Bruno Mars"
"track-sim","433681259","24K Magic","Bruno Mars"
"track-sim","27514868","Grenade","Bruno Mars"
"track-sim","1830422741","Ghost","Justin Bieber"
"track-sim","36921365","Stitches","Shawn Mendes"
"track-sim","415904452","Treat You Better","Shawn Mendes"
"track-sim","27896574","Story of My Life","One Direction"
"track-sim","29719175","Night Changes","One Direction"
"track-sim","33327082","Run Away With Me","Carly Rae Jepsen"
"track-sim","480409522","Cut to the Feeling","Carly Rae Jepsen"
"track-sim","431610014","Starboy","The Weeknd / Daft Punk"
"track-sim","442867526","Die For You","The Weeknd"
"track-sim","1340558332","7 rings","Ariana Grande"
"track-sim","553814210","No Tears Left to Cry","Ariana Grande"
"track-sim","1449991947","Rain On Me","Lady Gaga / Ariana Grande"
"track-sim","27697195","Wrecking Ball","Miley Cyrus"
"track-sim","18981962","Last Friday Night (T.G.I.F.)","Katy Perry"
"track-sim","27731239","Dark Horse","Katy Perry / Juicy J"
"track-sim","3406918","Titanium","David Guetta / Sia"
"track-sim","516818337","Getaway Car","Taylor Swift"
"track-sim","2652793771","Cold Heart","Dua Lipa / Elton John"
"track-own","25657274","Talking to the Moon","Bruno Mars"
"track-own","2411634","A Thousand Years","Christina Perri"
