"title","artist","id","apiName","apiArtist","album"
"Send My Love","Adele","410846246","Send My Love (To Your New Lover)","Adele","Send My Love (To Your New Lover)"
"Lavender Haze","Taylor Swift","2035060165","Lavender Haze (Acoustic Version)","Taylor Swift","Lavender Haze (Acoustic Version)"
"Bad Romance","Lady Gaga","26951502","Bad Romance (Dave Audé Radio Edit)","Lady Gaga","Promo Only: Dance Radio, January 2010"
"Dusk Till Dawn","ZAYN / Sia","1950533180","Dusk Till Dawn (Radio Edit)","ZAYN/Sia/Zayn feat. Sia","Summer Songs Upbeat 2022"
"Dance Monkey","Tones and I","1495008014","Dance Monkey (DFG Bootleg)","Tones and I",""
"I Don't Wanna Live Forever","ZAYN / Taylor Swift","494643961","I Don't Wanna Live Forever","Taylor Swift/Maxence Luchi/Jack Antonoff","2017 Hottest Songs"
"Lose Control","Teddy Swims","2602883163","Lose Control (Heartistic Remix)","Over12/Teddy Swims","Lose Control"
"APT.","ROSÉ / Bruno Mars","2666929075","APT(Dance Rmix)","ROSE/Bruno Mars","APT.(Dance Rmix)"
"Greedy","Tate McRae","2110882860","Greedy (Karaoke Version originally performed by Tate McRae)","Mareon","Instrumental Playback Hits - Karaoke Remix Playlist 2023.2 (New Music Remix Compilation Vol.7)"
"What Was I Made For?","Billie Eilish","2065100111","What Was I Made For? (From The Motion Picture ""Barbie"")","Billie Eilish","Barbie The Album"
"Skyfall","Adele","568908128","Skyfall (From the Motion Picture score for ""Skyfall"")","Joel Pott/Adele/Katie Campbell/Dominik Hauser/Paul Epworth","And The Nominees Are... - Best Original Song Nominations for 2013"
"Chasing Cars","Snow Patrol","5047401","Chasing Cars (Acoustic)","Snow Patrol","Grey's Anatomy, Vol. 2 (O.S.T)"
"What a Wonderful World","Louis Armstrong","1649082","What A Wonderful World (Single Version)","Louis Armstrong","All Time Greatest Hits"
"Let It Be","The Beatles","565009895","Let it Be (made famous by The Beatles)","The Piano Classic Players/The Beatles","The Most Relaxing Piano Classics Ever Made"
"Scarborough Fair","Simon & Garfunkel","27102081","Scarborough Fair (Canticle)","Simon & Garfunkel","The Simon & Garfunkel Collection"
"Vincent (Starry Starry Night)","Don McLean","17261554","Vincent (Starry, Starry Night)","Don McLean","Rearview Mirror: An American Musical Journey"
"Take My Breath Away","Berlin","567257658","Take My Breath Away (Re-Recorded / Remastered)","Berlin","Melodic Ballads"
"Billie Jean","Michael Jackson","26971703","Billie Jean (Original 12' Version)","Michael Jackson","Grand 12-Inches 4"
"My Heart Will Go On","Celine Dion","26524701","My Heart Will Go On","满舒克/MuSik I/廖伟珊","My Heart Will Go On"
"I Don't Want to Miss a Thing","Aerosmith","405337333","I Don't Want To Miss A Thing (Album Version)","Diane Warren/Aerosmith","Love Songs - 100 Hits: Ballads, sad songs and tear jerkers inc. Beyonce, Michael Jackson and John Legend"
"Beautiful in White","Westlife","574939455","Beautiful In White","Shane Filan","Love Always (Asia Deluxe Edition)"
"Cry on My Shoulder","Alexander Klaws","17194024","Cry on My Shoulder","Deutschland sucht den Superstar","United"
"Wake Me Up","Avicii","26546088","Wake Me Up (Radio Edit)","Avicii/Aloe Blacc","Wake Me Up!"
"Feel So Close","Calvin Harris","16963280","Feel So Close (Radio Edit)","Calvin Harris","Feel So Close"
"Animals","Martin Garrix","29794684","Animals (McMaNGOS Funnymals Edit)","Martin Garrix/McMaNGOS","Animals (Remixes)"
"Roses (Imanbek Remix)","The Chainsmokers / ROSÉ","2680516852","Roses (Imanbek Remix)","Vermillon League","Dance Hit Bangers 2021"
"Where Are U Now","Skrillex","420125900","Where Are U Now (Kamajiko Remix)","Kamajiko/Skrillex/Diplo/Justin Bieber","Where Are Ü Now  (Kamajiko Remix)"
"On the Floor","Jennifer Lopez / Pitbull","1903291493","On The Floor (Radio Edit)","Jennifer Lopez/Pitbull","Toddler and Children Singalong: Dance Party"
"Timber","Pitbull / Ke$ha","28331097","Timber (Jump Smokers Club Mix)","Pitbull Feat. Ke$ha","The Dome Vol.69"
"Cold Heart","Dua Lipa / Elton John","2652793771","Cold Heart (Live from the Royal Albert Hall)","Dua Lipa/Elton John","Dua Lipa Live from the Royal Albert Hall"
"Adorn","Miguel","26395570","Adorn (Groundislava Cool Mix)","Miguel","Groundislava Treasure Chest"
"God's Plan","Drake","1437204419","Toosie Slide","Drake","Toosie Slide"
"Can't Hold Us","Macklemore / Ryan Lewis","27805646","Can't Hold Us (Featuring Ray Dalton)","Macklemore/Macklemore & Ryan Lewis","Live At KEXP, Volume 9"
"Old Town Road","Lil Nas X / Billy Ray Cyrus","1476338328","Old Town Road (Santi & XM Remix)","Lil Nas X/Billy Ray Cyrus","Cartoon People - Club Deep House, Vol. 2"
"Sicko Mode","Travis Scott","1369021013","Sicko Mode (explicit) (Complete version originally performed by Travis Scott feat. Juicy J, Swae Lee and Drake)","Various Artists","Sicko Mode (explicit)"
"Hymn For The Weekend","Coldplay","419594258","Hymn For The Weekend（Remix）","Alan Walker/Coldplay","Hymn For The Weekend [Remix]"
"Radioactive","Imagine Dragons","28283983","Radioactive (Acoustic)","Imagine Dragons","Night Visions Live"
"Enemy","Imagine Dragons / JIN","1977828161","Enemy (from the series Arcane League of Legends)","Imagine Dragons/JID/双城之战/英雄联盟","卡点金曲大赏"
"She Will Be Loved","Maroon 5","35270295","She Will Be Loved (Acoustic Version)","Maroon 5","Smallville Season 4 Original Sound Track"
"Stronger","Kelly Clarkson","2870985","Stronger (What Doesn't Kill You)","Kelly Clarkson","Stronger (Japanese Edition)"
"Mr. Brightside","The Killers","24603571","Mr Brightside","The Killers","Now That's What I Call The 00's"
"It's My Life","Bon Jovi","33541352","It's My Life (Zavala mash-up)","Bon Jovi/house south brothers","100 Хитов Клубной Музыки (2015)"
"Numb","Linkin Park","33361663","Numb (Piano)","Linkin Park","最新热歌慢摇103"
"Zombie","The Cranberries","5169125","Zombie (MTV Unplugged)","The Cranberries","Best Acoustic Versions"
"Hey, Soul Sister","Train","5097733","Hey Soul Sister","Train","The Biggest Loser Workout Mix - Top 40 Hits Vol. 4"
"Take Me Home, Country Roads","John Denver","27448352","Take Me Home Country Roads","John Denver","The Best of John Denver"
"可惜没如果","林俊杰","1468114203","可惜沒如果","林俊杰","上一首情歌 (国语精选)"
"她说","林俊杰","29802239","她说(DEMO)","林俊杰","热门华语253"
"依然爱你","王力宏","27927284","依然爱你(伴奏)","王力宏","热门华语141"
"光年之外","G.E.M.邓紫棋","537854066","光年之外 (Live)","G.E.M.邓紫棋","2018安徽卫视春节联欢晚会"
"你曾是少年","S.H.E","26427663","你曾是少年","好妹妹乐队","南北"
"信仰","张信哲","574919306","信仰 (Live)","张信哲","嗨，唱起来  第9期"
"小情歌","苏打绿","1451452397","小情歌（伴奏）","苏打绿","小情歌（伴奏）"
"后来","刘若英","34834580","后来 (伴奏)","刘若英","热门华语281"
"记事本","周蕙","190062","记事本","周传雄","Transfer"
"大鱼","周深","516823132","大鱼 (唱片版)","周深","深的深"
"少年","梦然","2690863733","少年 (低频公益版)","梦然","《听见“听不见”的音乐》低频公益专辑"
"你的答案","阿冗","1432115544","你的答案（伴奏）","阿冗","你的答案（伴奏）"
"向云端","小阿七","2049512697","向云端","小霞/海洋Bo","向云端"
"若月亮没来","王宇宙Leto / 乔浚丞","2135438113","若月亮没来 (DJ版)","王宇宙Leto/乔浚丞","若月亮没来 (DJ铁柱)"
"平凡之路","朴树","29750099","平凡之路(电影版)","朴树","热门华语255"
"一无所有","崔健","1315219037","一无所有","王杰","Millennium Greatest Hits Vol.2"
"我们的爱","F.I.R.飞儿乐团","5246639","我们的爱","F.I.R.","情歌101"
"斑马斑马","宋冬野","1418712997","斑马斑马",".","宋冬野"
"菊花台","周杰伦","185938","东风破","周杰伦","Initial J"
"东风破","周杰伦","185668","烟花易冷","周杰伦","跨时代"
"烟花易冷","周杰伦","185701","兰亭序","周杰伦","魔杰座"
"知否知否","胡夏 / 郁可唯","3419923292","知否知否","小雪","知否知否"
"千年等一回","慧妮","236387","千年等一回","高胜美","经典金选3 如果你是我的传说"
