title,artist
Rapper's Delight,The Sugarhill Gang
The Message,Grandmaster Flash and the Furious Five
Walk This Way,Run-D.M.C.
It's Tricky,Run-D.M.C.
(You Gotta) Fight For Your Right (To Party!),Beastie Boys
No Sleep Till Brooklyn,Beastie Boys
Sabotage,Beastie Boys
Straight Outta Compton,N.W.A
Gangsta's Paradise,Coolio
I'll Be Missing You,Puff Daddy & Faith Evans
N.Y. State of Mind,Nas
Juicy,The Notorious B.I.G.
Big Poppa,The Notorious B.I.G.
Hypnotize,The Notorious B.I.G.
Mo Money Mo Problems,The Notorious B.I.G.
California Love,2Pac & Dr. Dre
Changes,2Pac
Dear Mama,2Pac
Hit 'Em Up,2Pac
It Was a Good Day,Ice Cube
C.R.E.A.M.,Wu-Tang Clan
Still D.R.E.,Dr. Dre & Snoop Dogg
Forgot About Dre,Dr. Dre & Eminem
Nuthin' But A 'G' Thang,Dr. Dre & Snoop Dogg
Gin and Juice,Snoop Dogg
Drop It Like It's Hot,Snoop Dogg
In da Club,50 Cent
Candy Shop,50 Cent
21 Questions,50 Cent
Many Men (Wish Death),50 Cent
Hail Mary,2Pac
Ambitionz Az a Ridah,2Pac
The Real Slim Shady,Eminem
Stan,Eminem & Dido
The Way I Am,Eminem
My Name Is,Eminem
Superman,Eminem
Like Toy Soldiers,Eminem
Beautiful,Eminem
When I'm Gone,Eminem
Criminal,Eminem
The World Is Yours,Nas
Made You Look,Nas
If I Ruled the World (Imagine That),Nas & Lauryn Hill
Big Pimpin,JAY-Z & UGK
Hard Knock Life (Ghetto Anthem),JAY-Z
99 Problems,JAY-Z
Empire State of Mind,JAY-Z & Alicia Keys
Run This Town,JAY-Z & Kanye West & Rihanna
Renegade,JAY-Z & Eminem
Dead Presidents II,JAY-Z
Can I Get A...,JAY-Z & Amil & Ja Rule
Gold Digger,Kanye West & Jamie Foxx
Stronger,Kanye West
Heartless,Kanye West
Power,Kanye West
Jesus Walks,Kanye West
Good Life,Kanye West & T-Pain
All of the Lights,Kanye West
Get Ur Freak On,Missy Elliott
Work It,Missy Elliott
Lose Control,Missy Elliott
Let Me Blow Ya Mind,Eve & Gwen Stefani
Doo Wop (That Thing),Lauryn Hill
Ex-Factor,Lauryn Hill
Ms. Jackson,OutKast
Hey Ya!,OutKast
B.O.B.,OutKast
So Fresh So Clean,OutKast
A Milli,Lil Wayne
Lollipop,Lil Wayne
Mrs. Officer,Lil Wayne
Alright,Kendrick Lamar
DNA.,Kendrick Lamar
Swimming Pools (Drank),Kendrick Lamar
Money Trees,Kendrick Lamar
Not Like Us,Kendrick Lamar
Goosebumps,Travis Scott
Highest in the Room,Travis Scott
Started From the Bottom,Drake
Headlines,Drake
In My Feelings,Drake
Nice for What,Drake
Forever,Drake & Kanye West & Lil Wayne & Eminem
Congratulations,Post Malone & Quavo
White Iverson,Post Malone
Psycho,Post Malone & Ty Dolla Sign
Wow.,Post Malone
Bodak Yellow,Cardi B
I Like It,Cardi B & Bad Bunny & J Balvin
Money,Cardi B
WAP,Cardi B & Megan Thee Stallion
Anaconda,Nicki Minaj
Super Bass,Nicki Minaj
Starships,Nicki Minaj
No Problem,Chance the Rapper
This Is America,Childish Gambino
Bad and Boujee,Migos & Lil Uzi Vert
T-Shirt,Migos
