"title","artist","id","apiName","apiArtist","album","score"
"Rapper's Delight","The Sugarhill Gang","5221922","Rapper's Delight","The Sugarhill Gang","Greatest Hits Of The Millennium 70's Vol. 3","95"
"The Message","Grandmaster Flash and the Furious Five","17990107","The Message","Grandmaster Flash & the Furious Five","The Message","95"
"Walk This Way","Run-D.M.C.","3315202","Walk This Way","Run-D.M.C. / Aerosmith","Raising Hell","95"
"It's Tricky","Run-D.M.C.","29559708","It's Tricky","Run-D.M.C.","The Box Set Series","95"
"(You Gotta) Fight For Your Right (To Party!)","Beastie Boys","3955287","(You Gotta ) Fight For Your Right (To Party)","Beastie Boys","Anthology: The Sounds Of Science","95"
"No Sleep Till Brooklyn","Beastie Boys","16855885","No Sleep Till Brooklyn","Beastie Boys","Licensed To Ill","95"
"Sabotage","Beastie Boys","16855986","Sabotage","Beastie Boys","Ill Communication","95"
"Straight Outta Compton","N.W.A","20189494","Straight Outta Compton","N.W.A","Straight Outta Compton","95"
"Gangsta's Paradise","Coolio","17112374","Gangsta's Paradise","Coolio / L.V.","Gangsta's Paradise","95"
"I'll Be Missing You","Puff Daddy & Faith Evans","5135557","I'll Be Missing You","Puff Daddy / Faith Evans","R&B Lovesongs 2009","95"
"N.Y. State of Mind","Nas","21268933","N.Y. State of Mind","Nas","Illmatic","95"
"Juicy","The Notorious B.I.G.","1315168334","Juicy","The Notorious B.I.G.","Greatest Hits","95"
"Big Poppa","The Notorious B.I.G.","21799569","Big Poppa","The Notorious B.I.G.","Ready To Die","95"
"Hypnotize","The Notorious B.I.G.","1320329093","Hypnotize","The Notorious B.I.G.","Playlist: Hip Hop","95"
"Mo Money Mo Problems","The Notorious B.I.G.","21799583","Mo Money Mo Problems","The Notorious B.I.G. / Mase / Puff Daddy","Life After Death","95"
"California Love","2Pac & Dr. Dre","26921431","California Love","2Pac","Live","95"
"Changes","2Pac","19375093","Changes","2Pac / Talent","Greatest Hits","95"
"Dear Mama","2Pac","19375098","Dear Mama","2Pac","Greatest Hits","95"
"Hit 'Em Up","2Pac","2113762","Hit 'Em Up","2Pac","Greatest Hits Edited","95"
"It Was a Good Day","Ice Cube","18353530","It Was A Good Day","Ice Cube","The Predator (World) (Clean)","95"
"C.R.E.A.M.","Wu-Tang Clan","3818257","C.R.E.A.M.","Wu-Tang Clan","Wu: The Story Of The Wu-Tang Clan","95"
"Still D.R.E.","Dr. Dre & Snoop Dogg","17405587","Still D.R.E.","Dr. Dre / Snoop Dogg","2001","95"
"Forgot About Dre","Dr. Dre & Eminem","17405593","Forgot About Dre","Dr. Dre / Eminem","2001","95"
"Nuthin' But A 'G' Thang","Dr. Dre & Snoop Dogg","1912757016","Nuthin But A G'Thang","Snoop Dogg / Dr. Dre","Black Mafia Family The Ultimate Hip Hop Compilation","95"
"Gin and Juice","Snoop Dogg","26345370","Gin and Juice","Snoop Dogg / Daz Dillinger","Doggystyle","95"
"Drop It Like It's Hot","Snoop Dogg","21614772","Drop It Like It's Hot","Snoop Dogg / Pharrell Williams","R&G (Rhythm & Gangsta): The Masterpiece","95"
"In da Club","50 Cent","16158605","In Da Club","50 Cent","In Da Club","95"
"Candy Shop","50 Cent","16158507","Candy Shop","50 Cent / Olivia","The Massacre","95"
"21 Questions","50 Cent","16158638","21 Questions","50 Cent / Nate Dogg","21 Questions","95"
"Many Men (Wish Death)","50 Cent","16158561","Many Men (Wish Death)","50 Cent","Get Rich Or Die Tryin","95"
"Hail Mary","2Pac","19375081","Hail Mary","2Pac","Greatest Hits","95"
"Ambitionz Az a Ridah","2Pac","1312062084","Ambitionz Az A Ridah","2Pac","All Eyez On Me","95"
"The Real Slim Shady","Eminem","1300459","The Real Slim Shady","Eminem","The Real Slim Shady","95"
"Stan","Eminem & Dido","17572422","Stan","Eminem / Dido","The Marshall Mathers LP","95"
"The Way I Am","Eminem","17572426","The Way I Am","Eminem","The Marshall Mathers LP","95"
"My Name Is","Eminem","17572251","My Name Is","Eminem","The Slim Shady LP","95"
"Superman","Eminem","17572306","Superman","Eminem / Dina Rae","The Eminem Show","95"
"Like Toy Soldiers","Eminem","17572539","Like Toy Soldiers","Eminem","Curtain Call: The Hits (Deluxe Edition)","95"
"Beautiful","Eminem","1297941","Beautiful","Eminem","Beautiful","95"
"When I'm Gone","Eminem","17572553","When I'm Gone","Eminem","When I'm Gone","95"
"Criminal","Eminem","17572437","Criminal","Eminem","The Marshall Mathers LP","95"
"The World Is Yours","Nas","21268935","The World Is Yours","Nas","Illmatic","95"
"Made You Look","Nas","21268845","Made You Look","Nas","God's Son","95"
"If I Ruled the World (Imagine That)","Nas & Lauryn Hill","21268930","If I Ruled the World (Imagine That)","Nas / Lauryn Hill","It Was Written","95"
"Big Pimpin","JAY-Z & UGK","2758461222","Big Pimpin'","JAŸ-Z / UGK","Vol. 3... Life And Times Of S. Carter","95"
"Hard Knock Life (Ghetto Anthem)","JAY-Z","27238097","Hard Knock Life (Ghetto Anthem)","JAŸ-Z","Best Dance 1/99","70"
"99 Problems","JAY-Z","18614115","99 Problems","JAŸ-Z","99 Problems / Dirt Off Your Shoulder","70"
"Empire State of Mind","JAY-Z & Alicia Keys","18614153","Empire State Of Mind","JAŸ-Z / Alicia Keys","The Hits Collection Volume One [International Version (Explicit)]","95"
"Run This Town","JAY-Z & Kanye West & Rihanna","18614146","Run This Town","JAŸ-Z / Rihanna / Kanye West","The Hits Collection Volume One [International Version (Explicit)]","95"
"Renegade","JAY-Z & Eminem","17572494","Renegade","Eminem / JAŸ-Z","Lose Yourself","95"
"Dead Presidents II","JAY-Z","18614069","Dead Presidents II","JAŸ-Z","Reasonable Doubt","70"
"Can I Get A...","JAY-Z & Amil & Ja Rule","18613883","Can I Get A...","JAŸ-Z / Amil / Ja Rule","Vol. 2 Hard Knock Life","95"
"Gold Digger","Kanye West & Jamie Foxx","18969085","Gold Digger","Kanye West / Jamie Foxx","Late Registration","95"
"Heartless","Kanye West","18969180","Heartless","Kanye West","808s & Heartbreak (Softback)","95"
"Power","Kanye West","18969204","POWER","Kanye West","My Beautiful Dark Twisted Fantasy","95"
"Jesus Walks","Kanye West","18969136","Jesus Walks","Kanye West","The College Dropout","95"
"Good Life","Kanye West & T-Pain","18969071","Good Life","Kanye West / T-Pain","Graduation","95"
"All of the Lights","Kanye West","18969206","All Of The Lights","Kanye West / Rihanna / Kid Cudi / Fergie","My Beautiful Dark Twisted Fantasy","95"
"Get Ur Freak On","Missy Elliott","21215511","Get Ur Freak On","Missy Elliott","Miss E... So Addictive","95"
"Work It","Missy Elliott","21215284","Work It","Missy Elliott","Under Construction","95"
"Lose Control","Missy Elliott","21215697","Lose Control (feat. Ciara & Fat Man Scoop)","Missy Elliott / Ciara / Fatman Scoop","Lose Control","80"
"Let Me Blow Ya Mind","Eve & Gwen Stefani","5249267","LET ME BLOW YA MIND","Eve / Gwen Stefani","Hip Hop VI-The Collection","95"
"Doo Wop (That Thing)","Lauryn Hill","2926297","Doo Wop (That Thing)","Lauryn Hill","The Miseducation of Lauryn Hill","95"
"Ex-Factor","Lauryn Hill","2926295","Ex-Factor","Lauryn Hill","The Miseducation of Lauryn Hill","95"
"Ms. Jackson","OutKast","1302250733","Ms. Jackson","OutKast","Stankonia","95"
"Hey Ya!","OutKast","26525804","Hey Ya!","OutKast","Just the Best Sommer Hits (1990-Heute)","95"
"B.O.B.","OutKast","17706068","B.O.B.","OutKast","Big Boi & Dre Present, Outkast","95"
"So Fresh So Clean","OutKast","26605956","So Fresh So Clean","OutKast","Summertime Vol. 4 Mixtape","95"
"A Milli","Lil Wayne","40237113","A Milli","Lil Wayne","Tha Carter III","95"
"Lollipop","Lil Wayne","27206226","Lollipop","Lil Wayne / STATIC MAJOR","Mr. Carter","95"
"Mrs. Officer","Lil Wayne","20943184","Mrs. Officer","Lil Wayne / Bobby V / Kidd Kidd","Tha Carter III","95"
"Alright","Kendrick Lamar","31010336","Alright","Kendrick Lamar","To Pimp a Butterfly","95"
"DNA.","Kendrick Lamar","472045048","DNA.","Kendrick Lamar","DAMN.","95"
"Swimming Pools (Drank)","Kendrick Lamar","1643529","Swimming Pools (Drank)","Kendrick Lamar","Swimming Pools (Drank)","95"
"Money Trees","Kendrick Lamar","18943532","Money Trees","Kendrick Lamar / Jay Rock","good kid, m.A.A.d city","95"
"Not Like Us","Kendrick Lamar","2152805690","Not Like Us","Kendrick Lamar","Not Like Us","95"
"Goosebumps","Travis Scott","428642135","goosebumps","Travis Scott / Kendrick Lamar","Birds In The Trap Sing McKnight","95"
