"title","artist","id","source"
"Send My Love","Adele","410846246","CSV"
"Just the Way You Are","Bruno Mars","5093684","CSV"
"Call Me Maybe","Carly Rae Jepsen","17112299","CSV"
"Dance The Night","Dua Lipa","2065100107","CSV"
"Shape of You","Ed Sheeran","451703096","CSV"
"As It Was","Harry Styles","1948620191","CSV"
"Another Day Of Sun","La La Land Cast","1805283634","CSV"
"All About That Bass","Meghan Trainor","28756834","CSV"
"What Makes You Beautiful","One Direction","17753288","CSV"
"Nonsense","Sabrina Carpenter","1964236604","CSV"
"Who Says","Selena Gomez","29747526","CSV"
"There's Nothing Holdin' Me Back","Shawn Mendes","473602620","CSV"
"STAY","The Kid LAROI / Justin Bieber","1859245776","CSV"
"Baby","Justin Bieber / Ludacris","18638057","CSV"
"Love Yourself","Justin Bieber","36496695","CSV"
"Die With A Smile","Lady Gaga / Bruno Mars","2617944302","CSV"
"Poker Face","Lady Gaga","21038723","CSV"
"Firework","Katy Perry","2871217","CSV"
"Roar","Katy Perry","27566922","CSV"
"Teenage Dream","Katy Perry","22441762","CSV"
"Attention","Charlie Puth","473817398","CSV"
"How Long","Charlie Puth","509728806","CSV"
"One Call Away","Charlie Puth","34072434","CSV"
"We Don't Talk Anymore","Charlie Puth / Selena Gomez","401249910","CSV"
"Animals","Maroon 5","28987626","CSV"
"Maps","Maroon 5","28661564","CSV"
"Moves Like Jagger","Maroon 5 / Christina Aguilera","21253966","CSV"
"One More Night","Maroon 5","21253806","CSV"
"Payphone","Maroon 5 / Wiz Khalifa","4172700","CSV"
"Sugar","Maroon 5","29019227","CSV"
"22","Taylor Swift","19292804","CSV"
"Bad Blood","Taylor Swift","29572505","CSV"
"Cruel Summer","Taylor Swift","1382576173","CSV"
"I Knew You Were Trouble.","Taylor Swift","25648017","CSV"
"Lover","Taylor Swift","1382778514","CSV"
"Out Of The Woods","Taylor Swift","29498911","CSV"
"Shake It Off","Taylor Swift","28953033","CSV"
"Style","Taylor Swift","29572502","CSV"
"The Man","Taylor Swift","1382781100","CSV"
"We Are Never Ever Getting Back Together","Taylor Swift","25787222","CSV"
"Wildest Dreams","Taylor Swift","29572506","CSV"
"Blank Space","Taylor Swift","29572501","CSV"
"Anti-Hero","Taylor Swift","1990192694","CSV"
"Karma","Taylor Swift","1990192725","CSV"
"Delicate","Taylor Swift","516818336","CSV"
"Lavender Haze","Taylor Swift","2035060165","CSV"
"Don't Start Now","Dua Lipa","1400110511","CSV"
"Levitating","Dua Lipa","1433934518","CSV"
"Physical","Dua Lipa","1418953604","CSV"
"Flowers","Miley Cyrus","2014200813","CSV"
"Blinding Lights","The Weeknd","1406633327","CSV"
"Save Your Tears","The Weeknd","1432456852","CSV"
"Watermelon Sugar","Harry Styles","1404228064","CSV"
"Adore You","Harry Styles","1407951508","CSV"
"Late Night Talking","Harry Styles","1948618489","CSV"
"Espresso","Sabrina Carpenter","2144901835","CSV"
"Vampire","Olivia Rodrigo","2080218767","CSV"
"drivers license","Olivia Rodrigo","1846473650","CSV"
"golden hour","JVKE","1958557540","CSV"
"royals","Lorde","27698223","CSV"
"Chandelier","Sia","28306668","CSV"
"Cheap Thrills","Sia","39224884","CSV"
"Faded","Alan Walker","36990266","CSV"
"Let Me Down Slowly","Alec Benjamin","1338098071","CSV"
"Dancing With Your Ghost","Sasha Alex Sloan","1374329431","CSV"
"I Like Me Better","Lauv","479223413","CSV"
"Paris in the Rain","Lauv","564000295","CSV"
"Unstoppable","Sia","400876320","CSV"
"Feather","Sabrina Carpenter","2031003572","CSV"
"Houdini","Dua Lipa","2097627772","CSV"
"Training Season","Dua Lipa","2126654120","CSV"
"Photograph","Ed Sheeran","28692519","CSV"
"Bad Habits","Ed Sheeran","1855475139","CSV"
"Shivers","Ed Sheeran","1876212794","CSV"
"That's What I Like","Bruno Mars","441120471","CSV"
"24K Magic","Bruno Mars","433681259","CSV"
"Grenade","Bruno Mars","27514868","CSV"
"Ghost","Justin Bieber","1830422741","CSV"
"Stitches","Shawn Mendes","36921365","CSV"
"Treat You Better","Shawn Mendes","415904452","CSV"
"Story of My Life","One Direction","27896574","CSV"
"Night Changes","One Direction","29719175","CSV"
"Last Friday Night (T.G.I.F.)","Katy Perry","18981962","CSV"
"Dark Horse","Katy Perry / Juicy J","27731239","CSV"
"Bad Romance","Lady Gaga","","SEARCH"
"Paparazzi","Lady Gaga","","SEARCH"
"Just Give Me a Reason","P!nk / Nate Ruess","","SEARCH"
"If I Ain't Got You","Alicia Keys","","SEARCH"
"If I Were a Boy","Beyoncé","","SEARCH"
"Dusk Till Dawn","ZAYN / Sia","","SEARCH"
"Young and Beautiful","Lana Del Rey","","SEARCH"
"Summertime Sadness","Lana Del Rey","","SEARCH"
"7 Years","Lukas Graham","","SEARCH"
"Dance Monkey","Tones and I","","SEARCH"
"Señorita","Shawn Mendes / Camila Cabello","","SEARCH"
"I Don't Wanna Live Forever","ZAYN / Taylor Swift","","SEARCH"
"Waka Waka (This Time for Africa)","Shakira","","SEARCH"
"Hips Don't Lie","Shakira","","SEARCH"
"Unwritten","Natasha Bedingfield","","SEARCH"
"Fight Song","Rachel Platten","","SEARCH"
"Marry You","Bruno Mars","","SEARCH"
"Havana","Camila Cabello","","SEARCH"
"Beautiful Things","Benson Boone","","SEARCH"
"Lose Control","Teddy Swims","","SEARCH"
