1	红 (4U)	罗言	When the world is came, take it!	02:41
2	阿司匹林	王以太	演说家	03:22
3	一般的一天	Wiz_H张子豪	一般的一天	03:07
4	假面 (Ghost face)	法老	假面 (Ghost face)	03:37
5	小河淌水1952	法老 龚琳娜	退潮	04:03
6	我想part2	法老 杨秋儒	生于未来	04:41
7	我想（正式版）	法老 泠风	东海岸	04:13
8	星空叙爱曲	法老 阿达娃	退潮	03:12
9	插叙人生 (Montage)	Y.Z.H于哲浩 李晨曦Chrisulous	插叙人生 (Montage)	03:28
10	罗生门 (Follow)	梨冻紧 Wiz_H张子豪	罗生门 (Follow)	04:03
11	决爱·尽 (LIVE版)	盛宇D-SHINE Faye 詹雯婷	中国说唱巅峰对决2023 第六期加更	03:56
12	Hey KONG	KEY.L刘聪 c0de731	街区故事	04:37
13	经济舱 (Vol.Flightin')	KEY.L刘聪 KAFE.HU胡懿	经济舱	03:39
14	江湖流	C-BLOCK GAI周延	以下范上	04:49
15	My Man	Jony J	喜新恋旧	03:25
16	信仰	Jony J	J HOOD Mixtape	02:46
17	奴隶	Jony J	奴隶	03:11
18	顽家	Jony J	顽家	02:55
19	不用去猜 (Jazz Version)	Jony J	不用去猜	03:33
20	I don't wanna see u anymore	NINEONE#乃万	I don't wanna see u anymore	02:33
21	风的颜色	NINEONE#乃万	Dear X	03:02
22	But U	NINEONE#乃万	But U	03:45
23	篝火旁	吕大叶 马子林 陈觅Lynne	313	03:41
24	雨爱（电视剧《海派甜心》片尾曲）	杨丞琳	雨爱	04:20
25	忘记时间（我会好好珍惜没有你的明天）	杜宣达	忘记时间（我会好好珍惜没有你的明天）	03:49
26	一个人想着一个人（电视剧《终极一班2》片尾曲）	曾沛慈	终极一班2（电视原声带）	04:03
27	Love Song	方大同	未来 (Wonderland)	04:29
