1	奚	JISOO	奚(FLOWER)（花）	JISOO	ME	02:54
2	Dear my crazy soulmate	IU	Dear my crazy soulmate	IU	이 별로부터 (Unknown Planet)	02:36
3	Blueming	IU	Blueming	IU	Love poem	03:37
4	Celebrity	IU	Celebrity（名人）	IU	Celebrity	03:15
5	Angel	尹美莱	Angel	尹美莱 / Tiger JK / 비지 (Bizzy)	Angel	04:15
6	Everytime	CHEN	Everytime	CHEN / Punch	태양의 후예 OST Part.2	03:09
7	Stay With Me	CHANYEOL	Stay With Me	CHANYEOL / Punch	도깨비 OST Part.1（鬼怪 OST Part 1）	03:12
8	운명	Why	운명（命运）	Why	풀 하우스 OST (KBS 미니시리즈)（浪漫满屋）	04:15
9	水星记	郭顶	水星记	郭顶	飞行器的执行周期	05:25
10	凄美地	郭顶	凄美地	郭顶	飞行器的执行周期	04:10
11	那些年	胡夏	那些年（电影《那些年，我们一起追的女孩》主题曲）	胡夏	那些年，我们一起追的女孩 电影原声带	06:11
12	夏至未至	胡夏	夏至未至（电视剧《夏至未至》同名主题曲）	胡夏	夏至未至 影视原声带	04:44
13	卷珠帘	霍尊	卷珠帘	霍尊	天韵·霍尊	04:32
14	大鱼	周深	大鱼 (唱片版)	周深	深的深	05:17
15	小美满	周深	小美满（电影《热辣滚烫》热辣陪伴曲）	周深	小美满	03:34
16	奇妙能力歌	陈粒	奇妙能力歌	陈粒	如也	04:13
17	世间美好与你环环相扣	柏松	世间美好与你环环相扣	柏松	听闻余生	03:11
18	是你	梦然	是你	梦然	是你	03:43
19	理想三旬	陈鸿宇	理想三旬	陈鸿宇	浓烟下的诗歌电台	03:30
20	小半	陈粒	小半	陈粒	小梦大半	04:57
21	时间都去哪儿了 …	王铮亮	时间都去哪儿了（电影《私人定制》插曲\电视剧《老牛家的战争》主题曲\电视剧《空巢姥爷》主题曲）…	王铮亮	听得到的时间	03:43
22	南方姑娘	赵雷	南方姑娘	赵雷	赵小雷	05:32
23	鼓楼	赵雷	鼓楼 (The Drum Tower)	赵雷	无法长大	04:41
24	成都	赵雷	成都	赵雷	成都	05:28
25	我记得	赵雷	我记得	赵雷	署前街少年	05:29
26	董小姐	宋冬野	董小姐	宋冬野	安和桥北	05:10
27	斑马，斑马	宋冬野	斑马，斑马	宋冬野	安和桥北	04:13
28	安和桥	宋冬野	安和桥	宋冬野	安和桥北	04:10
29	风吹麦浪	李健	风吹麦浪	李健	想念你	04:07
30	贝加尔湖畔	李健	贝加尔湖畔	李健	依然	04:05
31	借	毛不易	借	毛不易	平凡的一天	04:03
32	消愁	毛不易	消愁	毛不易	平凡的一天	04:21
33	像我这样的人	毛不易	像我这样的人	毛不易	平凡的一天	03:27
34	夜空中最亮的星	逃跑计划	夜空中最亮的星	逃跑计划	世界	04:12
35	生如夏花	朴树	生如夏花	朴树	生如夏花	04:54
36	追梦赤子心	GALA	追梦赤子心（2013《快乐男声》主题曲）	GALA	追梦痴子心	05:17
37	杀死那个石家庄人	万能青年旅店	杀死那个石家庄人	万能青年旅店	万能青年旅店 同名专辑	05:44
38	后来	刘若英	后来（原曲《未来へ》）	刘若英	我等你	05:41
39	爱你	王心凌	爱你 (Love You)	王心凌	爱你	03:39
40	当你	王心凌	当你	王心凌	闪耀2005	03:23
